ds,y
2023-04-02,386
2023-04-03,1512
2023-04-04,1315
2023-04-05,573
2023-04-06,1190
2023-04-07,1406
2023-04-08,555
2023-04-09,374
2023-04-10,1617
2023-04-11,1838
2023-04-12,1348
2023-04-13,1357
2023-04-14,1335
2023-04-15,500
2023-04-16,330
2023-04-17,1578
2023-04-18,1487
2023-04-19,1614
2023-04-20,1474
2023-04-21,1275
2023-04-22,357
2023-04-23,1229
2023-04-24,1287
2023-04-25,1413
2023-04-26,1252
2023-04-27,1179
2023-04-28,1010
2023-04-29,324
2023-04-30,814
2023-05-01,360
2023-05-02,415
2023-05-03,828
2023-05-04,1535
2023-05-05,1578
2023-05-06,1297
2023-05-07,353
2023-05-08,1618
2023-05-09,1562
2023-05-10,1635
2023-05-11,1349
2023-05-12,1328
2023-05-13,554
2023-05-14,411
2023-05-15,1638
2023-05-16,1764
2023-05-17,1500
2023-05-18,1361
2023-05-19,1462
2023-05-20,551
2023-05-21,411
2023-05-22,1580
2023-05-23,1574
2023-05-24,1484
2023-05-25,1363
2023-05-26,1410
2023-05-27,547
2023-05-28,390
2023-05-29,1550
2023-05-30,1481
2023-05-31,1450
2023-06-01,1440
2023-06-02,1305
2023-06-03,562
2023-06-04,418
2023-06-05,1595
2023-06-06,1451
2023-06-07,1379
2023-06-08,1394
2023-06-09,1377
2023-06-10,610
2023-06-11,406
2023-06-12,1687
2023-06-13,1504
2023-06-14,1439
2023-06-15,1453
2023-06-16,1302
2023-06-17,480
2023-06-18,346
2023-06-19,1557
2023-06-20,1497
2023-06-21,1258
2023-06-22,786
2023-06-23,514
2023-06-24,325
2023-06-25,1462
2023-06-26,1444
2023-06-27,1535
2023-06-28,1386
2023-06-29,1236
2023-06-30,1178
2023-07-01,479
2023-07-02,350
2023-07-03,1561
2023-07-04,1451
2023-07-05,1454
2023-07-06,1286
2023-07-07,1273
2023-07-08,454
2023-07-09,324
2023-07-10,1474
2023-07-11,1461
2023-07-12,1376
2023-07-13,1273
2023-07-14,1258
2023-07-15,527
2023-07-16,328
2023-07-17,1433
2023-07-18,1406
2023-07-19,1249
2023-07-20,1305
2023-07-21,1142
2023-07-22,525
2023-07-23,310
2023-07-24,1470
2023-07-25,1589
2023-07-26,1372
2023-07-27,1296
2023-07-28,1234
2023-07-29,550
2023-07-30,355
2023-07-31,1289
